Company_ID,Establishment_Year,Tech_Readiness_Level,Company_Structure,IT_Budget_USD,Small_Branch_Offices,International_Branches,Days_Since_Last_Contract,Mnt_Cloud_Infrastructure,Mnt_CRM_Software,Mnt_ERP_Systems,Mnt_Cybersecurity,Mnt_Collaboration_Tools,Mnt_AI_Data_Analytics,Num_Discounted_Contracts,Num_SelfService_Contracts,Num_Partner_Reseller_Contracts,Num_Direct_Sales_Contracts,Num_B2B_Portal_Visits_Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,SLA_Breach_Complaints,Response,Mnt_Total_Enterprise_Spend,AI_Spending_Ratio,Partnership_Years,Macro_Cluster,Macro_Cluster_Name,Final_Segment,Probability_To_Buy,Target_Campaign
2114,1946,0,1,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,0.0341945288753799,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
6565,1949,2,2,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,0.0987100392596747,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
1729,1961,0,0,66426.0,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,1377,0.113933236574746,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
3403,1958,0,0,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,2092,0.0640229335881509,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
5140,1985,0,2,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,1445,0.1058091286307053,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
6036,1959,2,0,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,1924,0.0285714285714285,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
4673,1963,0,2,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,1241,0.0289855072463768,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
8164,1978,0,2,82170.0,0,0,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0,1908,0.0193818753273965,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
4261,1946,0,1,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,0.0341945288753799,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
2781,1981,3,1,72066.0,0,0,55,1003,34,536,134,51,34,1,4,6,6,2,0,0,1,1,0,0,1,1792,0.0189626324595649,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
6977,1974,3,0,75702.0,0,1,87,1073,0,629,145,37,37,1,10,5,13,6,0,0,1,0,0,0,0,1921,0.0192507804370447,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
3426,1975,3,4,70300.0,1,0,89,1045,61,338,60,46,46,3,5,5,13,8,0,0,0,0,0,0,0,1596,0.0288040075140889,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
5558,1954,0,1,90933.0,0,0,90,1020,31,430,62,63,79,1,4,6,4,1,0,0,1,0,0,0,0,1685,0.0468564650059312,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
10949,1963,0,4,72968.0,0,0,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,0,1,1958,0.0280755487493619,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
3262,1958,3,1,68281.0,0,0,31,995,112,417,42,48,41,1,2,9,13,5,0,0,0,0,0,0,1,1655,0.0247584541062801,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
5667,1964,0,2,60896.0,0,1,90,1013,30,399,60,46,153,3,9,10,4,6,0,0,0,0,0,0,1,1701,0.0898942420681551,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.9017341040462425,AcceptedCmp3
6566,1954,0,2,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,0.0287878787878787,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
5077,1979,3,0,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,0.0814432989690721,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
454,1980,3,0,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,1135,0.0378521126760563,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
7079,1962,3,4,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,1245,0.0738362760834671,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
9265,1953,3,2,75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,1390,0.0553558590941768,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
8932,1969,2,0,65176.0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,1531,0.0456919060052219,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
10992,1967,3,0,75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,1148,0.0261096605744125,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
9750,1961,0,4,64325.0,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,1307,0.0558103975535168,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
7214,1957,3,2,62187.0,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,1283,0.0981308411214953,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
9799,1968,0,4,83664.0,1,1,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,1173,0.0732538330494037,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
3523,1962,3,0,75072.0,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,1073,0.1163873370577281,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
1907,1950,2,4,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,1477,0.0466847090663058,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
4679,1977,2,2,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,1092,0.0457456541628545,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
11101,1991,3,0,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,836,0.2186379928315412,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
3560,1952,3,0,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,1574,0.1212698412698412,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
1915,1951,0,2,78939.0,0,0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,0,1507,0.1359416445623342,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
1031,1989,1,2,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,1062,0.0310442144873,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
2930,1978,2,1,68092.0,0,0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,1281,0.0374414976599064,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
241,1952,3,0,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,1574,0.1212698412698412,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
6059,1953,0,0,64504.0,1,2,81,986,36,168,16,0,108,7,11,3,4,7,0,0,0,0,0,0,1,1314,0.0821292775665399,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
8985,1964,1,0,68316.0,0,1,54,806,80,161,120,11,33,5,10,7,10,6,0,0,0,0,0,0,0,1211,0.0272277227722772,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
1524,1983,1,1,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,0,1,1104,0.0407239819004524,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
5545,1972,0,2,78075.0,0,0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,988,0.0808897876643073,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
2931,1978,3,4,71847.0,0,0,95,737,21,106,55,63,210,0,6,7,9,3,0,0,0,1,0,0,0,1192,0.1760268231349539,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
1232,1982,0,0,70038.0,0,0,54,587,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0,0,1244,0.1044176706827309,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
7521,1952,3,0,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,1574,0.1212698412698412,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
4406,1970,3,0,67419.0,0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,0,1471,0.0285326086956521,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
1081,1957,0,2,75283.0,1,2,26,733,9,180,12,19,66,11,6,3,5,4,0,0,0,0,0,0,0,1019,0.0647058823529411,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
8395,1961,3,1,82014.0,0,0,48,980,37,265,35,163,31,1,3,6,12,6,0,0,0,0,0,0,1,1511,0.0205026455026455,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
2797,1977,3,2,72117.0,0,1,34,707,20,171,65,60,50,1,9,7,9,5,0,0,0,0,0,0,0,1073,0.0465549348230912,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
9645,1968,3,2,64590.0,0,0,98,920,138,168,36,46,30,1,9,4,10,6,0,0,0,0,0,0,0,1338,0.022404779686333,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
6173,1979,3,0,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,0.0814432989690721,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
7960,1962,1,0,82122.0,0,0,89,734,22,350,151,25,100,1,3,9,13,1,0,0,1,0,0,0,0,1382,0.0723065798987707,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
6428,1950,0,3,76842.0,0,0,37,605,10,345,84,54,32,1,1,8,7,0,0,0,0,0,0,0,0,1130,0.0282935455349248,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
4837,1965,0,2,71322.0,0,1,57,753,43,226,69,10,204,2,8,5,13,4,0,0,0,0,0,0,0,1305,0.1562021439509954,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
10701,1973,3,2,65308.0,0,0,60,713,0,264,120,80,34,1,7,8,12,4,0,0,1,1,0,0,0,1211,0.028052805280528,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
2345,1982,0,0,70038.0,0,0,54,587,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0,0,1244,0.1044176706827309,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
9790,1957,3,1,78499.0,0,0,12,912,72,170,47,36,97,1,11,3,4,4,0,0,1,0,0,0,1,1334,0.0726591760299625,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
6721,1951,3,2,71965.0,0,1,21,572,19,286,50,38,248,3,6,3,5,3,0,0,0,0,0,0,0,1213,0.2042833607907743,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
10870,1967,3,2,61223.0,0,1,46,709,43,182,42,118,247,2,9,3,4,5,0,0,0,0,0,0,0,1341,0.184053651266766,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6473029045643155,AcceptedCmp3
8867,1988,0,2,67546.0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,2126,0.080865068171133,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
4702,1964,3,1,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,1895,0.0632911392405063,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
4910,1967,3,4,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,2074,0.0554216867469879,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
9826,1972,0,1,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,2114,0.0189125295508274,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
5830,1972,0,1,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,2114,0.0189125295508274,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
3139,1982,1,1,74116.0,0,0,53,871,111,704,145,55,166,1,4,4,10,2,0,1,0,0,0,0,0,2052,0.0808572820263029,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
6421,1961,3,0,88347.0,0,0,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,2116,0.0557392536608408,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
8310,1964,3,0,68142.0,0,1,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,0,1459,0.0253424657534246,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
8278,1990,0,2,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,1711,0.0192757009345794,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
1553,1946,3,0,82657.0,0,0,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0,0,2283,0.0551663747810858,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
4278,1983,0,1,87188.0,0,0,73,910,111,724,49,74,55,1,10,2,6,3,0,0,0,0,0,0,1,1923,0.0285862785862785,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
2186,1977,1,0,82326.0,0,0,30,938,142,754,159,81,183,1,5,10,6,2,0,1,1,1,0,0,1,2257,0.0810451727192205,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9216589861751153,AcceptedCmp3
